query	q0	docid	score	rank	model
19	0	s_2201_1079_0	0.948184609413147	1	distilbert-base-uncased-emotion
19	0	s_1265_449_5	0.9457831382751465	2	distilbert-base-uncased-emotion
19	0	s_1748_972_0	0.9444562196731567	3	distilbert-base-uncased-emotion
19	0	s_63_19_1	0.9435489177703857	4	distilbert-base-uncased-emotion
19	0	s_788_636_2	0.9376852512359619	5	distilbert-base-uncased-emotion
19	0	s_3028_530_0	0.936768651008606	6	distilbert-base-uncased-emotion
19	0	s_1404_105_33	0.9351078271865845	7	distilbert-base-uncased-emotion
19	0	s_929_4_9	0.9345111846923828	8	distilbert-base-uncased-emotion
19	0	s_1447_1078_0	0.9321760535240173	9	distilbert-base-uncased-emotion
19	0	s_3066_976_1	0.9307353496551514	10	distilbert-base-uncased-emotion
19	0	s_614_1412_12	0.9306812882423401	11	distilbert-base-uncased-emotion
19	0	s_1514_727_320	0.930678129196167	12	distilbert-base-uncased-emotion
19	0	s_710_468_2	0.9282166957855225	13	distilbert-base-uncased-emotion
19	0	s_2559_717_0	0.9280123710632324	14	distilbert-base-uncased-emotion
19	0	s_718_510_1	0.9273256659507751	15	distilbert-base-uncased-emotion
19	0	s_1977_37_0	0.9273017644882202	16	distilbert-base-uncased-emotion
19	0	s_1523_1111_2	0.9259142279624939	17	distilbert-base-uncased-emotion
19	0	s_383_771_0	0.925230860710144	18	distilbert-base-uncased-emotion
19	0	s_2595_404_60	0.9250401258468628	19	distilbert-base-uncased-emotion
19	0	s_2044_1167_0	0.9232355356216431	20	distilbert-base-uncased-emotion
19	0	s_144_523_2	0.9219533205032349	21	distilbert-base-uncased-emotion
19	0	s_1725_319_0	0.9215840101242065	22	distilbert-base-uncased-emotion
19	0	s_797_1328_1	0.9206213355064392	23	distilbert-base-uncased-emotion
19	0	s_2143_29_0	0.9206012487411499	24	distilbert-base-uncased-emotion
19	0	s_61_4_0	0.9202709197998047	25	distilbert-base-uncased-emotion
19	0	s_2393_346_0	0.9202187061309814	26	distilbert-base-uncased-emotion
19	0	s_3067_116_1	0.919971227645874	27	distilbert-base-uncased-emotion
19	0	s_2593_550_1	0.9195125102996826	28	distilbert-base-uncased-emotion
19	0	s_1147_1108_2	0.9193659424781799	29	distilbert-base-uncased-emotion
19	0	s_1914_1535_1	0.9179661273956299	30	distilbert-base-uncased-emotion
19	0	s_2953_799_6	0.9178204536437988	31	distilbert-base-uncased-emotion
19	0	s_463_37_0	0.9169244170188904	32	distilbert-base-uncased-emotion
19	0	s_2183_149_8	0.916739821434021	33	distilbert-base-uncased-emotion
19	0	s_681_78_1	0.9163570404052734	34	distilbert-base-uncased-emotion
19	0	s_1599_19_2	0.9163364171981812	35	distilbert-base-uncased-emotion
19	0	s_2344_3_0	0.9163260459899902	36	distilbert-base-uncased-emotion
19	0	s_1843_267_64	0.9160439372062683	37	distilbert-base-uncased-emotion
19	0	s_738_586_0	0.9159755706787109	38	distilbert-base-uncased-emotion
19	0	s_2615_1655_0	0.9159374833106995	39	distilbert-base-uncased-emotion
19	0	s_8_1071_2	0.9154624938964844	40	distilbert-base-uncased-emotion
